416;Platformer
416;Platformer
416;2D
416;2D
417;Action
417;Miscellaneous
417;Parlor
417;Pinball
417;Pinball
418;Role-Playing
418;Console-style RPG
418;Console-style RPG
418;Japanese-Style
419;Action
419;Shooter
419;Shooter
419;Static
419;Third-Person
419;Static
419;Shoot-'Em-Up
419;Sci-Fi
419;Top-Down
420;Action
420;Action Adventure
420;Platformer
420;General
420;Platformer
420;3D
420;3D
421;Action
421;Miscellaneous
421;Rhythm
421;Music
421;Music
422;Sports
422;Alternative
422;Individual
422;Skateboarding
422;Skateboarding
422;Skate / Skateboard
423;Adventure
423;General
423;General
423;Point-and-Click
424;Miscellaneous
424;Puzzle
424;Action
424;Puzzle
424;Puzzle
424;General
424;Action
425;Action
425;Shooter
425;Shooter
425;Static
425;Static
425;Shoot-'Em-Up
425;Top-Down
425;Vertical
426;Adventure
426;General
426;General
427;Strategy
427;Real-Time
427;Sci-Fi
427;Sci-Fi
427;General
428;Role-Playing
428;Console-style RPG
428;Console-style RPG
428;Japanese-Style
429;Strategy
429;Turn-Based
429;General
429;Historic
429;Historic
430;Driving
430;Racing
430;Simulation
430;GT / Street
430;GT / Street
430;Automobile
431;Adventure
431;General
431;General
431;Visual Novel
432;Role-Playing
432;Console-style RPG
432;Console-style RPG
432;Japanese-Style
433;Action
433;General
433;General
434;Action
434;Platformer
434;Platformer
434;2D
434;2D
435;Simulation
435;General
435;General
436;Action
436;Platformer
436;Platformer
436;2D
436;2D
437;Adventure
437;General
437;General
438;Action
438;Action Adventure
438;Beat-'Em-Up
438;General
438;Platformer
438;Beat-'Em-Up
438;2D
439;Action
439;General
439;General
440;Action
440;Miscellaneous
440;Platformer
440;Compilation
440;2D
441;Driving
441;Racing
441;Arcade
441;Kart
441;Kart
441;Automobile
442;Action
442;Action Adventure
442;General
442;General
443;Action Adventure
443;Fantasy
443;General
443;Fantasy
444;Action
444;Action Adventure
444;General
444;General
444;Fantasy
445;Adventure
445;General
445;General
445;Visual Novel
446;Action
446;Platformer
446;General
446;2D
447;Action
447;General
447;General
448;Miscellaneous
448;Edutainment
448;Edutainment
449;Role-Playing
449;Action RPG
449;Action RPG
450;Miscellaneous
450;Puzzle
450;Action
450;Puzzle
450;Puzzle
450;Action
451;Role-Playing
451;General
451;General
452;Miscellaneous
452;Puzzle
452;Puzzle
452;General
452;Puzzle
452;Logic
452;General
453;Role-Playing
453;Console-style RPG
453;Console-style RPG
453;Japanese-Style
454;Action
454;Miscellaneous
454;General
454;General
454;Trivia / Game Show
455;Action
455;General
455;General
456;Action
456;Platformer
456;Platformer
456;2D
456;2D
457;Miscellaneous
457;Puzzle
457;Puzzle
457;Puzzle
457;Matching
457;Matching
457;Action
458;Role-Playing
458;First-Person
458;First-Person
458;Western-Style
459;Action
459;General
459;General
460;Strategy
460;Breeding/Constructing
460;Management
460;Breeding/Constructing
460;Business / Tycoon
461;Role-Playing
461;Console-style RPG
461;Console-style RPG
461;Japanese-Style
461;Trainer
462;Miscellaneous
