STAR WARS: THE FORCE UNLEASHED II;71;7.8;LucasArts;LucasArts;Oct 26, 2010;With Star Wars: The Force Unleashed II, the epic story continues as players once again assume the role of the devastatingly powerful Starkiller - Darth Vader's secret apprentice set during the largely unexplored era between Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV… Expand;10 ;Action,General,General
DEATH JR.: ROOT OF EVIL;71;8.1;Eidos Interactive;Backbone Entertainment;May 27, 2008;Experience life after death as the Grim Reaper’s teenage son Death Jr. (aka DJ), and his school sweetheart Pandora, as they embark on a journey to free DJ’s captured father and complete their school science project at the same time! Rebuilt exclusive for the Wii, Death Jr.: Root of Evil uses… Expand;14 ;Action,Platformer,Platformer,3D,3D
PICTIONARY;71;tbd;THQ;Page 44 Studios;Nov 14, 2010;Pictionary, the game of quick sketches and crazy guesses, has innovative new functionality and game modes for the whole family! In addition to great classic Pictionary play, new features include rotating canvases, one-line challenges and other fun gameplay modes in a lively game show setting.;7 ;Miscellaneous,Party,Board Games,Board / Card Game
THE MUNCHABLES;71;8.2;Namco Bandai Games;Now Production;May 26, 2009;In The Munchables, players are called upon to eat and defeat over 150 insidious enemies who have taken over the planet including Eggplanter, Space Shroom and Rice Baller. With each fallen foe, the daring omnivorous Munchables grow in size and power in their brave struggle. In this… Expand;33 ;Action,General,General
SUPER SWING GOLF SEASON 2;70;tbd;Tecmo;Tecmo;Dec 11, 2007;Swing into action with your favorite characters as they return to the island to challenge new courses with all new story and tournament modes. New multiplayer modes have been introduced to keep the party going with friends and family. With completely new customizations, costumes, and… Expand;17 ;Sports,Traditional,Individual,Golf,Arcade,Arcade
MX VS. ATV UNTAMED;70;8.3;THQ;Rainbow Studios;Feb 18, 2008;MX vs ATV kicks it up a notch and shifts into high gear as the best selling offroad franchise returns. MX vs ATV’s legendary Rhythm Racing lets players pre-load into massive jumps and clutch through hairpin turns at full speed all while retaining the smooth and authentic feel not found in… Expand;7 ;Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile
CRASH: MIND OVER MUTANT;70;6.2;Activision ;Radical Entertainment;Oct 7, 2008;In Crash Bandicoot: Mind over Mutant, a rejuvenated Neo Cortex is taking over the world one brain at a time! Cortex and N. Brio devise a new kind of evil - a text-messaging, do-anything device which controls both mutant and bandicoot minds. Armed with his quick-wits and lightening agility,… Expand;13 ;Action,Platformer,Platformer,3D,3D
2010 FIFA WORLD CUP SOUTH AFRICA;70;6.7;EA Sports;Electronic Arts;Apr 27, 2010;EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each… Expand;19 ;Sports,Traditional,Team,Soccer,Sim,Sim
FIFA SOCCER 12;70;6.0;Electronic Arts;Electronic Arts;Sep 26, 2011;Fifa Soccer 11 brings back to the pitch with an all new innovative gameplay features.;9 ;Sports,Traditional,Team,Soccer,Sim,Sim
MAGNETICA TWIST;70;8.0;Nintendo;Mitchell;Jun 30, 2008;[WiiWare] The classic puzzle game Magnetica is now available on WiiWare , putting its own unique "twist" on the puzzle-game experience. You're surrounded by marbles, marching slowly but surely down a track. Use a launcher (piloted by a Mii of your choice) to shoot marbles with matching… Expand;10 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,Matching,General
BATMAN: THE BRAVE AND THE BOLD - THE VIDEOGAME;70;7.3;Warner Bros. Interactive Entertainment;WayForward;Sep 7, 2010;Batman: The Brave and the Bold the Videogame fully immerses fans into the vivid animated world of the successful TV series where kids can play as Batman or together with family and friends in two-player co-op mode. Players can choose from iconic characters Robin, Green Lantern, Blue Beetle,… Expand;37 ;Action,General,General
CALL OF DUTY: MODERN WARFARE 3;70;2.0;Activision;Treyarch;Nov 8, 2011;Engage enemy forces in New York, Paris, Berlin and other attack sites across the globe. The world stands on the brink, and Makarov is intent on bringing civilization to its knees. In this darkest hour, are you willing to do what is necessary?;16 ;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade
